bundle_id,item_name,genre
696,Techwars Online,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy']"
696,Techwars online - Original Soundtrack,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy']"
696,Techwars online - Art book,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy']"
697,Affairs of the Court: Choice of Romance,"['Adventure', 'Indie', 'RPG']"
697,Affairs of the Court: Choice of Romance - Play as the Consort,"['Adventure', 'Indie', 'RPG']"
697,Affairs of the Court: Choice of Romance - A Life Mage Child,"['Adventure', 'Indie', 'RPG']"
697,Affairs of the Court: Choice of Romance - Death to the Princess,"['Adventure', 'Indie', 'RPG']"
700,Megadimension Neptunia VII Weapon Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Trial Weapon Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Ultimate Weapon Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Nightwear Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Swimsuit Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Equipment Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Processor Pack,"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Party Character [Umio],"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Party Character [Nepgya],"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Party Character [Million Arthur],"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Party Character [God Eater],"['RPG', 'Strategy']"
700,Megadimension Neptunia VII Party Character [Nitroplus],"['RPG', 'Strategy']"
701,Black Rose,['Action']
701,Japanese Iris,['Action']
701,Bande Dessinee,['Action']
701,Red Swan,['Action']
701,Amazonic Green & Amazonic Turquoise,['Action']
701,Cutie Marine (Blue) & Cutie Marine (Yellow),['Action']
701,Jet Spanglette (Black) & Jet Spanglette (Red),['Action']
701,Fizzy & Dizzy (Berry) & Fizzy & Dizzy (Cider),['Action']
701,Golden Kagura Pigtails,['Action']
701,Golden Saaya Ponytail,['Action']
701,Golden Wavy Long 'Do,['Action']
701,Golden Saki Pigtails,['Action']
701,Authentic Bunny & Fetish Bunny,['Action']
701,Cowboy Hat,['Action']
701,GaGaGa Ribbon Golden & GaGaGa Ribbon,['Action']
701,Ponytail Wig & Blonde Ponytail Wig,['Action']
701,Rider Scarf,['Action']
701,Rider Belt,['Action']
701,Beast Hands,['Action']
701,Straight Pigtails & Golden Straight Pigtails,['Action']
701,Voluminous Ponytail & Golden Voluminous Ponytail,['Action']
701,Cool Short 'Do & Golden Cool Short 'Do,['Action']
701,Long Ponytail & Golden Long Ponytail,['Action']
701,THE NINJA (Purple) & THE NINJA (Green),['Action']
701,Giant Sword,['Action']
701,Nunchaku,['Action']
701,Death Claw,['Action']
701,Handgun,['Action']
701,Wolf's Hair & Golden Wolf's Hair,['Action']
701,Short Bob & Golden Short Bob,['Action']
701,Wavy Medium 'Do & Golden Wavy Medium 'Do,['Action']
701,Wavy Side Tail & Golden Wavy Side Tail,['Action']
701,Pale Blue Gullwings & Pale Blue Visor,['Action']
701,Strawberry Banana Surprise (X),['Action']
701,Strawberry Banana Surprise (Y),['Action']
701,Pale Pink Gullwings & Pale Pink Visor,['Action']
701,Kitten Mittens & Fuzzy Leggings,['Action']
704,Zombie Zoeds,"['Action', 'Adventure', 'Casual', 'Indie']"
704,Klabi,"['Action', 'Adventure', 'Indie']"
704,Aircraft War X,"['Action', 'Indie', 'Simulation']"
708,The Dope Game,"['Adventure', 'Casual', 'Simulation']"
708,The Dope Game: The Stash,"['Adventure', 'Casual', 'Simulation']"
709,Higurashi When They Cry Hou - Ch.1 Onikakushi,['Adventure']
709,Higurashi When They Cry Hou - Ch.2 Watanagashi,['Adventure']
709,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,['Adventure']
710,Sakura Spirit,['Indie']
710,Sakura Angels,"['Casual', 'Indie']"
710,Sakura Fantasy Chapter 1,"['Casual', 'Indie']"
710,Sakura Beach,"['Indie', 'Simulation']"
710,Sakura Swim Club,"['Casual', 'Indie']"
710,Sakura Dungeon,"['Adventure', 'Indie', 'RPG']"
710,Sakura Beach 2,"['Casual', 'Indie']"
710,Sakura Santa,"['Adventure', 'Casual']"
710,Sakura Shrine Girls,"['Casual', 'Indie']"
712,Borderlands: The Zombie Island of Dr. Ned,"['Action', 'RPG']"
712,Borderlands: Mad Moxxi's Underdome Riot,"['Action', 'RPG']"
712,Borderlands: The Secret Armory of General Knoxx,"['Action', 'RPG']"
712,Borderlands: Claptrap's Robot Revolution,"['Action', 'RPG']"
712,Borderlands,"['Action', 'RPG']"
712,Borderlands 2,"['Action', 'RPG']"
712,Borderlands: The Pre-Sequel,"['Action', 'RPG']"
712,Tales from the Borderlands,['Adventure']
718,Neon Drive,"['Action', 'Indie']"
718,Neon Drive - Soundtrack,['none']
721,Trine Enchanted Edition,"['Action', 'Adventure', 'Indie']"
721,Trine 2: Complete Story,"['Action', 'Adventure', 'Indie']"
721,Trine 3: The Artifacts of Power,"['Action', 'Adventure', 'Indie']"
724,Siege Wars,"['Casual', 'Indie']"
724,Mind Games,['Indie']
724,Colours of Magic: Aqua Teeter,"['Casual', 'Indie']"
725,PERFECT ANGLE: The puzzle game based on optical illusions,"['Adventure', 'Casual', 'Indie', 'Strategy']"
725,Perfect Angle VR - Zen edition,"['Casual', 'Indie', 'Simulation', 'Strategy']"
727,The Witcher: Enhanced Edition Director's Cut,"['Action', 'RPG']"
727,The Witcher 2: Assassins of Kings Enhanced Edition,['RPG']
727,The Witcher® 3: Wild Hunt,['RPG']
728,99 Spirits,"['Adventure', 'Indie', 'RPG']"
728,99 Spirits - Cage of Night,"['Adventure', 'Indie', 'RPG']"
728,99 Spirits - Weeping Demon's Bell,"['Adventure', 'Indie']"
728,99 Spirits - Art Book + Music Collection,"['Adventure', 'Indie', 'RPG']"
728,War of the Human Tanks,"['Adventure', 'Indie', 'Strategy']"
728,Sound of the Human Tanks,"['Adventure', 'Indie', 'Strategy']"
728,100% Orange Juice,"['Indie', 'Strategy']"
728,War of the Human Tanks - ALTeR,"['Adventure', 'Indie', 'Strategy']"
728,War of the Human Tanks - Limited Operations,"['Adventure', 'Indie', 'Strategy']"
728,Sound of the Human Tanks - LO,['none']
728,QP Shooting - Dangerous!!,"['Action', 'Indie']"
728,100% Orange Juice - Syura & Nanako Character Pack,"['Indie', 'Strategy']"
728,100% Orange Juice - Saki & Kyousuke Character Pack,"['Indie', 'Strategy']"
728,200% Mixed Juice!,"['Adventure', 'Indie', 'RPG']"
728,ManaCollect,"['Action', 'Adventure']"
728,100% Orange Juice - Mixed Booster Pack,"['Indie', 'Strategy']"
728,Magical Eyes - Red is for Anguish,"['Adventure', 'Indie']"
728,100% Orange Juice - Krila & Kae Character Pack,"['Indie', 'Strategy']"
728,100% Orange Juice - Alte & Kyoko Character Pack,"['Indie', 'Strategy']"
728,Sora,"['Action', 'Indie']"
728,Sora no Kakera - Sora Original Soundtrack,['Action']
728,Celeste - Sora Extra Soundtrack,['Action']
728,100% Orange Juice - Sham & Sherry Character Pack,"['Indie', 'Strategy']"
728,100% Orange Juice - Breaker Pack,"['Indie', 'Strategy']"
729,Dracula 4 and  5 - Special Steam Edition,['Adventure']
729,Dracula: The Resurrection,"['Adventure', 'Casual']"
729,Dracula 2: The Last Sanctuary,"['Adventure', 'Casual']"
729,Dracula 3: The Path of the Dragon,"['Adventure', 'Casual']"
730,Dead Star - Ordo Robots Pilot Portrait and Ship Paint Pack,"['Action', 'Indie']"
730,Dead Star - Kurg Ship Expansion,"['Action', 'Indie']"
730,Dead Star - Quaz'l Ship Expansion,"['Action', 'Indie']"
730,Dead Star,"['Action', 'Indie']"
734,DEMIAN,['none']
734,Break Ups,['none']
736,The Deed,"['Adventure', 'RPG']"
736,Space Pilgrim Episode I: Alpha Centauri,"['Adventure', 'Indie']"
736,Space Pilgrim Episode II: Epsilon Indi,"['Adventure', 'Indie']"
736,Space Pilgrim Episode III: Delta Pavonis,"['Adventure', 'Indie']"
736,Space Pilgrim Episode IV: Sol,"['Adventure', 'Indie']"
736,The Deed: Dynasty,"['Adventure', 'Indie', 'RPG']"
746,Hero of the Kingdom,"['Adventure', 'Casual', 'Indie', 'RPG']"
746,War on Folvos,"['Indie', 'Strategy']"
746,Hero of the Kingdom II,"['Adventure', 'Casual', 'Indie', 'RPG']"
746,Empire of the Gods,"['Casual', 'Indie', 'Strategy']"
746,Townopolis,"['Casual', 'Indie', 'Simulation', 'Strategy']"
746,Romopolis,"['Casual', 'Indie', 'Simulation', 'Strategy']"
746,Megapolis,"['Casual', 'Indie', 'Simulation', 'Strategy']"
747,Mayan Death Robots,"['Action', 'Indie']"
747,Defunct,"['Adventure', 'Indie', 'Racing']"
747,Tic-Toc-Tower,"['Action', 'Adventure', 'Indie']"
747,Save the Dodos,"['Casual', 'Indie']"
749,Abyss: The Wraiths of Eden,"['Adventure', 'Casual']"
749,Dark Arcana: The Carnival,"['Adventure', 'Casual']"
749,9 Clues 2: The Ward,"['Adventure', 'Casual']"
749,Grim Legends 3: The Dark City,"['Adventure', 'Casual']"
750,Divergent,['none']
750,The Divergent Series: Insurgent,['none']
750,The Divergent Series: Allegiant,['none']
751,Nightmares from the Deep: The Cursed Heart,"['Adventure', 'Casual']"
751,Grim Legends 2: Song of the Dark Swan,"['Adventure', 'Casual']"
751,The Secret Order 3: Ancient Times,"['Adventure', 'Casual']"
751,Mythic Wonders: The Philosopher's Stone,"['Adventure', 'Casual']"
752,Enigmatis 2: The Mists of Ravenwood,"['Adventure', 'Casual']"
752,9 Clues: The Secret of Serpent Creek,"['Adventure', 'Casual']"
752,Left in the Dark: No One on Board,"['Adventure', 'Casual']"
752,Vampire Legends: The True Story of Kisilova,"['Adventure', 'Casual']"
753,Nightmares from the Deep 3: Davy Jones,"['Adventure', 'Casual']"
753,Grim Legends: The Forsaken Bride,['Casual']
753,Fairy Tale Mysteries 2: The Beanstalk,"['Adventure', 'Casual']"
753,Eventide: Slavic Fable,"['Adventure', 'Casual']"
754,Enigmatis: The Ghosts of Maple Creek,"['Adventure', 'Casual']"
754,Nightmares from the Deep 2: The Siren`s Call,"['Adventure', 'Casual']"
754,Mind Snares: Alice's Journey,"['Adventure', 'Casual']"
754,The Secret Order 2: Masked Intent,"['Adventure', 'Casual']"
755,Tom Clancy's Rainbow Six® Vegas,['Action']
755,Tom Clancy's Rainbow Six® Vegas 2,['Action']
755,Tom Clancy's Rainbow Six Lockdown™,['Action']
755,Tom Clancy's Rainbow Six® 3 Gold,['Action']
755,Tom Clancy's Rainbow Six® Siege,['Action']
757,Assassin’s Creed® IV Black Flag™,"['Action', 'Adventure']"
757,Assassin's Creed® Unity,"['Action', 'Adventure']"
757,Assassin’s Creed® Rogue,"['Action', 'Adventure']"
757,Assassin's Creed® Syndicate,"['Action', 'Adventure']"
758,8-Bit Armies,"['Indie', 'Simulation', 'Strategy']"
758,8-Bit Armies - Soundtrack,"['Simulation', 'Strategy']"
758,8-Bit Armies - Guardians Campaign,"['Indie', 'Simulation', 'Strategy']"
759,Heroes of Might & Magic V,['Strategy']
759,Heroes of Might & Magic V: Hammers of Fate,['Strategy']
759,Heroes of Might & Magic V: Tribes of the East,['Strategy']
759,Heroes® of Might & Magic® III - HD Edition,"['RPG', 'Strategy']"
760,Rayman® Origins,"['Action', 'Adventure']"
760,Rayman® Legends,"['Action', 'Adventure']"
760,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,['Adventure']
760,Toy Soldiers: War Chest,"['Action', 'Casual', 'Strategy']"
760,Child of Light,['RPG']
760,Trials Fusion™,['Racing']
760,Tetris® Ultimate,['Casual']
761,Choice of the Deathless,"['Indie', 'RPG']"
761,Psy High,"['Indie', 'RPG']"
761,A Wise Use of Time,"['Indie', 'RPG']"
761,Deathless: The City's Thirst,"['Indie', 'RPG']"
761,MetaHuman Inc.,"['Indie', 'RPG']"
761,The ORPHEUS Ruse,"['Indie', 'RPG']"
762,MetaHuman Inc.,"['Indie', 'RPG']"
762,The ORPHEUS Ruse,"['Indie', 'RPG']"
763,Choice of Robots,"['Indie', 'RPG']"
763,Choice of Alexandria,"['Adventure', 'Indie', 'RPG']"
764,Mecha Ace,"['Indie', 'RPG']"
764,Choice of Robots,"['Indie', 'RPG']"
764,VERSUS: The Lost Ones,"['Indie', 'RPG']"
764,Ratings War,"['Indie', 'RPG']"
765,The Hero of Kendrickstone,"['Indie', 'RPG']"
765,Choice of the Petal Throne,"['Indie', 'RPG']"
765,Champion of the Gods,"['Indie', 'RPG']"
765,Pendragon Rising,"['Indie', 'RPG']"
765,Choice of Kung Fu,"['Indie', 'RPG']"
766,Thieves' Gambit: The Curse of the Black Cat,"['Indie', 'RPG']"
766,The Daring Mermaid Expedition,"['Indie', 'RPG']"
766,It's Killing Time,"['Adventure', 'Indie', 'RPG']"
766,Choice of the Pirate,"['Adventure', 'Indie', 'RPG']"
767,Heroes Rise: The Prodigy,"['Indie', 'RPG']"
767,Heroes Rise: The Hero Project,"['Indie', 'RPG']"
767,Heroes Rise: HeroFall,"['Indie', 'RPG']"
767,VERSUS: The Lost Ones,"['Indie', 'RPG']"
767,A Wise Use of Time,"['Indie', 'RPG']"
767,Diabolical,"['Indie', 'RPG']"
767,The Hero Project: Redemption Season,"['Adventure', 'Indie', 'RPG']"
768,Choice of the Deathless,"['Indie', 'RPG']"
768,Choice of Robots,"['Indie', 'RPG']"
768,SLAMMED!,"['Indie', 'RPG']"
768,Hollywood Visionary,"['Indie', 'RPG']"
768,Deathless: The City's Thirst,"['Indie', 'RPG']"
768,Pendragon Rising,"['Indie', 'RPG']"
768,The Sea Eternal,"['Adventure', 'Indie', 'RPG']"
769,Mecha Ace,"['Indie', 'RPG']"
769,The Hero of Kendrickstone,"['Indie', 'RPG']"
770,Heroes Rise: The Prodigy,"['Indie', 'RPG']"
770,Heroes Rise: The Hero Project,"['Indie', 'RPG']"
770,Heroes Rise: The Hero Project - Warning System,"['Indie', 'RPG']"
770,Heroes Rise: The Hero Project - Perfect Legend Guide,"['Indie', 'RPG']"
770,Heroes Rise: The Prodigy - Perfect Legend Guide,"['Indie', 'RPG']"
770,Heroes Rise: HeroFall,"['Indie', 'RPG']"
770,Heroes Rise: HeroFall - Warning System,"['Indie', 'RPG']"
770,Heroes Rise: HeroFall - Perfect Legend Guide,"['Indie', 'RPG']"
770,Heroes Rise: HeroFall - Ad Space,"['Indie', 'RPG']"
770,Choice of the Deathless,"['Indie', 'RPG']"
770,Mecha Ace,"['Indie', 'RPG']"
